activity_id,lead_id,channel,attempt_number,activity_date,response_received,response_type,meeting_booked
A000035,L0004,LinkedIn,1,2024-10-10,No,No Response,No
A000036,L0004,Cold Call,1,2024-10-02,No,No Response,No
A000037,L0004,Email,2,2024-10-24,No,No Response,No
A000038,L0004,LinkedIn,2,2024-09-11,No,No Response,No
A000039,L0004,Cold Call,2,2024-09-26,No,No Response,No
A000040,L0004,Email,3,2024-10-15,No,No Response,No
A000041,L0004,LinkedIn,3,2024-10-17,No,No Response,No
A000042,L0004,Cold Call,3,2024-10-29,No,No Response,No
A000043,L0004,Email,4,2024-10-15,Yes,Interested,Yes
A000044,L0005,Email,1,2024-10-03,No,No Response,No
A000045,L0005,LinkedIn,1,2024-09-19,No,No Response,No
A000046,L0005,Cold Call,1,2024-10-18,No,No Response,No
A000047,L0005,Email,2,2024-09-20,No,No Response,No
A000048,L0005,LinkedIn,2,2024-09-21,No,No Response,No
A000049,L0005,Cold Call,2,2024-10-02,No,No Response,No
A000050,L0005,Email,3,2024-10-17,No,No Response,No
A000051,L0005,LinkedIn,3,2024-10-12,No,No Response,No
A000052,L0005,Cold Call,3,2024-10-21,No,No Response,No
A000053,L0005,Email,4,2024-09-13,No,No Response,No
A000054,L0005,LinkedIn,4,2024-09-08,No,No Response,No
A000055,L0005,Cold Call,4,2024-10-27,No,No Response,No
A000056,L0005,Email,5,2024-10-01,No,No Response,No
A000057,L0005,LinkedIn,5,2024-09-12,No,No Response,No
A000058,L0005,Cold Call,5,2024-09-11,No,No Response,No
A000059,L0006,Email,1,2024-10-15,No,No Response,No
A000060,L0006,LinkedIn,1,2024-09-09,No,No Response,No
A000061,L0006,Cold Call,1,2024-09-02,No,No Response,No
A000062,L0006,Email,2,2024-09-26,No,No Response,No
A000063,L0006,LinkedIn,2,2024-09-17,No,No Response,No
A000064,L0006,Cold Call,2,2024-10-15,No,No Response,No
A000065,L0006,Email,3,2024-09-09,No,No Response,No
A000066,L0006,LinkedIn,3,2024-09-08,No,No Response,No
A000067,L0006,Cold Call,3,2024-10-20,No,No Response,No
A000068,L0006,Email,4,2024-10-09,Yes,Not Now,No
A000069,L0007,Email,1,2024-10-01,No,No Response,No
A000070,L0007,LinkedIn,1,2024-09-01,No,No Response,No
A000071,L0007,Cold Call,1,2024-09-10,No,No Response,No
A000072,L0007,Email,2,2024-10-10,No,No Response,No
A000073,L0007,LinkedIn,2,2024-10-04,No,No Response,No
A000074,L0007,Cold Call,2,2024-09-06,No,No Response,No
A000075,L0007,Email,3,2024-09-09,Yes,Not Now,No
A000076,L0008,Email,1,2024-09-10,No,No Response,No
A000077,L0008,LinkedIn,1,2024-09-12,No,No Response,No
A000078,L0008,Cold Call,1,2024-10-24,No,No Response,No
A000079,L0008,Email,2,2024-10-23,No,No Response,No
A000080,L0008,LinkedIn,2,2024-10-08,Yes,Interested,No
A000081,L0009,Email,1,2024-09-15,No,No Response,No
A000082,L0009,LinkedIn,1,2024-10-27,No,No Response,No
A000083,L0009,Cold Call,1,2024-10-28,Yes,Interested,No
A000084,L0010,Email,1,2024-09-28,No,No Response,No
A000085,L0010,LinkedIn,1,2024-10-16,No,No Response,No
A000086,L0010,Cold Call,1,2024-10-05,No,No Response,No
A000087,L0010,Email,2,2024-09-18,No,No Response,No
A000088,L0010,LinkedIn,2,2024-09-26,No,No Response,No
A000089,L0010,Cold Call,2,2024-10-10,No,No Response,No
A000090,L0010,Email,3,2024-09-03,No,No Response,No
A000091,L0010,LinkedIn,3,2024-09-25,No,No Response,No
A000092,L0010,Cold Call,3,2024-09-07,No,No Response,No
A000093,L0010,Email,4,2024-10-24,No,No Response,No
A000094,L0010,LinkedIn,4,2024-09-12,Yes,Interested,No
A000095,L0011,Email,1,2024-09-09,No,No Response,No
A000096,L0011,LinkedIn,1,2024-09-01,No,No Response,No
A000097,L0011,Cold Call,1,2024-10-25,No,No Response,No
A000098,L0011,Email,2,2024-09-17,No,No Response,No
A000099,L0011,LinkedIn,2,2024-10-18,No,No Response,No
A000100,L0011,Cold Call,2,2024-09-04,No,No Response,No
A000101,L0011,Email,3,2024-09-18,No,No Response,No
A000102,L0011,LinkedIn,3,2024-10-28,No,No Response,No
A000103,L0011,Cold Call,3,2024-10-04,Yes,Not Now,No
A000104,L0012,Email,1,2024-10-10,No,No Response,No
A000105,L0012,LinkedIn,1,2024-09-16,No,No Response,No
A000106,L0012,Cold Call,1,2024-09-29,No,No Response,No
A000107,L0012,Email,2,2024-10-22,Yes,Interested,No
A000108,L0013,Email,1,2024-09-19,No,No Response,No
A000109,L0013,LinkedIn,1,2024-10-17,Yes,Interested,No
A000110,L0014,Email,1,2024-10-24,No,No Response,No
A000111,L0014,LinkedIn,1,2024-10-04,No,No Response,No
A000112,L0014,Cold Call,1,2024-09-20,No,No Response,No
A000113,L0014,Email,2,2024-09-15,No,No Response,No
A000114,L0014,LinkedIn,2,2024-10-12,Yes,Interested,No
A000115,L0015,Email,1,2024-10-04,No,No Response,No
A000116,L0015,LinkedIn,1,2024-09-29,No,No Response,No
A000117,L0015,Cold Call,1,2024-10-25,No,No Response,No
A000118,L0015,Email,2,2024-09-21,No,No Response,No
A000119,L0015,LinkedIn,2,2024-10-30,Yes,Interested,No
A000120,L0016,Email,1,2024-09-27,No,No Response,No
A000121,L0016,LinkedIn,1,2024-10-11,No,No Response,No
A000122,L0016,Cold Call,1,2024-09-20,No,No Response,No
A000123,L0016,Email,2,2024-09-19,No,No Response,No
A000124,L0016,LinkedIn,2,2024-09-30,No,No Response,No
A000125,L0016,Cold Call,2,2024-09-16,No,No Response,No
A000126,L0016,Email,3,2024-10-12,Yes,Interested,No
A000127,L0017,Email,1,2024-09-18,No,No Response,No
A000128,L0017,LinkedIn,1,2024-10-22,No,No Response,No
A000129,L0017,Cold Call,1,2024-09-11,No,No Response,No
A000130,L0017,Email,2,2024-09-20,No,No Response,No
A000131,L0017,LinkedIn,2,2024-10-27,No,No Response,No
A000132,L0017,Cold Call,2,2024-10-20,No,No Response,No
A000133,L0017,Email,3,2024-10-12,No,No Response,No
A000134,L0017,LinkedIn,3,2024-09-18,Yes,Not Now,No
A000135,L0018,Email,1,2024-09-14,No,No Response,No
A000136,L0018,LinkedIn,1,2024-09-14,No,No Response,No
A000137,L0018,Cold Call,1,2024-10-17,No,No Response,No
A000138,L0018,Email,2,2024-09-08,No,No Response,No
A000139,L0018,LinkedIn,2,2024-10-20,No,No Response,No
A000140,L0018,Cold Call,2,2024-10-26,No,No Response,No
A000141,L0018,Email,3,2024-10-12,Yes,Not Now,No
A000142,L0019,Email,1,2024-09-23,No,No Response,No
A000143,L0019,LinkedIn,1,2024-10-24,No,No Response,No
A000144,L0019,Cold Call,1,2024-09-10,No,No Response,No
A000145,L0019,Email,2,2024-10-08,No,No Response,No
A000146,L0019,LinkedIn,2,2024-10-01,No,No Response,No
A000147,L0019,Cold Call,2,2024-09-06,No,No Response,No
A000148,L0019,Email,3,2024-09-25,No,No Response,No
A000149,L0019,LinkedIn,3,2024-09-22,No,No Response,No
A000150,L0019,Cold Call,3,2024-10-01,No,No Response,No
A000151,L0019,Email,4,2024-09-20,No,No Response,No
A000152,L0019,LinkedIn,4,2024-09-28,No,No Response,No
A000153,L0019,Cold Call,4,2024-09-14,No,No Response,No
A000154,L0019,Email,5,2024-09-23,No,No Response,No
A000155,L0019,LinkedIn,5,2024-10-31,No,No Response,No
A000156,L0019,Cold Call,5,2024-10-14,No,No Response,No
A000157,L0020,Email,1,2024-10-06,No,No Response,No
A000158,L0020,LinkedIn,1,2024-10-25,No,No Response,No
A000159,L0020,Cold Call,1,2024-10-03,No,No Response,No
A000160,L0020,Email,2,2024-09-17,No,No Response,No
A000161,L0020,LinkedIn,2,2024-10-13,No,No Response,No
A000162,L0020,Cold Call,2,2024-10-01,No,No Response,No
A000163,L0020,Email,3,2024-10-26,No,No Response,No
A000164,L0020,LinkedIn,3,2024-09-27,No,No Response,No
A000165,L0020,Cold Call,3,2024-10-23,No,No Response,No
A000166,L0020,Email,4,2024-09-12,No,No Response,No
A000167,L0020,LinkedIn,4,2024-09-26,No,No Response,No
A000168,L0020,Cold Call,4,2024-09-29,No,No Response,No
A000169,L0020,Email,5,2024-09-06,Yes,Not Now,No
A000170,L0021,Email,1,2024-09-03,Yes,Interested,Yes
A000171,L0022,Email,1,2024-09-27,No,No Response,No
A000172,L0022,LinkedIn,1,2024-10-16,No,No Response,No
A000173,L0022,Cold Call,1,2024-10-20,No,No Response,No
A000174,L0022,Email,2,2024-09-08,No,No Response,No
A000175,L0022,LinkedIn,2,2024-09-19,No,No Response,No
A000176,L0022,Cold Call,2,2024-09-23,No,No Response,No
A000177,L0022,Email,3,2024-09-08,No,No Response,No
A000178,L0022,LinkedIn,3,2024-09-28,Yes,Interested,Yes
A000179,L0023,Email,1,2024-10-07,No,No Response,No
A000180,L0023,LinkedIn,1,2024-09-12,No,No Response,No
A000181,L0023,Cold Call,1,2024-09-01,No,No Response,No
A000182,L0023,Email,2,2024-09-26,No,No Response,No
A000183,L0023,LinkedIn,2,2024-09-07,No,No Response,No
A000184,L0023,Cold Call,2,2024-09-01,No,No Response,No
A000185,L0023,Email,3,2024-10-11,No,No Response,No
A000186,L0023,LinkedIn,3,2024-09-29,No,No Response,No
A000187,L0023,Cold Call,3,2024-09-09,No,No Response,No
A000188,L0023,Email,4,2024-10-18,No,No Response,No
A000189,L0023,LinkedIn,4,2024-10-02,No,No Response,No
A000190,L0023,Cold Call,4,2024-10-13,No,No Response,No
A000191,L0023,Email,5,2024-10-27,Yes,Interested,No
A000192,L0024,Email,1,2024-10-02,No,No Response,No
A000193,L0024,LinkedIn,1,2024-09-12,No,No Response,No
A000194,L0024,Cold Call,1,2024-10-30,No,No Response,No
A000195,L0024,Email,2,2024-10-14,Yes,Interested,No
A000196,L0025,Email,1,2024-09-24,No,No Response,No
A000197,L0025,LinkedIn,1,2024-10-10,No,No Response,No
A000198,L0025,Cold Call,1,2024-10-11,No,No Response,No
A000199,L0025,Email,2,2024-10-14,No,No Response,No
A000200,L0025,LinkedIn,2,2024-10-31,No,No Response,No
A000201,L0025,Cold Call,2,2024-10-15,No,No Response,No
A000202,L0025,Email,3,2024-10-19,No,No Response,No
A000203,L0025,LinkedIn,3,2024-10-11,No,No Response,No
A000204,L0025,Cold Call,3,2024-10-16,Yes,Interested,No
A000205,L0026,Email,1,2024-10-29,No,No Response,No
A000206,L0026,LinkedIn,1,2024-09-01,No,No Response,No
A000207,L0026,Cold Call,1,2024-10-05,No,No Response,No
A000208,L0026,Email,2,2024-10-12,No,No Response,No
A000209,L0026,LinkedIn,2,2024-09-01,No,No Response,No
A000210,L0026,Cold Call,2,2024-09-20,No,No Response,No
A000211,L0026,Email,3,2024-10-12,Yes,Interested,No
A000212,L0027,Email,1,2024-09-18,No,No Response,No
A000213,L0027,LinkedIn,1,2024-09-23,No,No Response,No
A000214,L0027,Cold Call,1,2024-09-27,No,No Response,No
A000215,L0027,Email,2,2024-09-23,No,No Response,No
A000216,L0027,LinkedIn,2,2024-09-11,No,No Response,No
A000217,L0027,Cold Call,2,2024-09-25,Yes,Not Now,No
A000218,L0028,Email,1,2024-10-24,No,No Response,No
A000219,L0028,LinkedIn,1,2024-10-16,No,No Response,No
A000220,L0028,Cold Call,1,2024-10-30,No,No Response,No
A000221,L0028,Email,2,2024-10-20,No,No Response,No
A000222,L0028,LinkedIn,2,2024-09-10,No,No Response,No
A000223,L0028,Cold Call,2,2024-10-24,No,No Response,No
A000224,L0028,Email,3,2024-10-20,No,No Response,No
A000225,L0028,LinkedIn,3,2024-10-22,No,No Response,No
A000226,L0028,Cold Call,3,2024-09-16,No,No Response,No
A000227,L0028,Email,4,2024-09-30,No,No Response,No
A000228,L0028,LinkedIn,4,2024-09-05,Yes,Interested,No
A000229,L0029,Email,1,2024-09-25,No,No Response,No
A000230,L0029,LinkedIn,1,2024-09-16,No,No Response,No
A000231,L0029,Cold Call,1,2024-09-24,No,No Response,No
A000232,L0029,Email,2,2024-10-01,No,No Response,No
A000233,L0029,LinkedIn,2,2024-10-17,No,No Response,No
A000234,L0029,Cold Call,2,2024-10-07,No,No Response,No
A000235,L0029,Email,3,2024-09-23,No,No Response,No
A000236,L0029,LinkedIn,3,2024-10-27,No,No Response,No
A000237,L0029,Cold Call,3,2024-09-27,No,No Response,No
A000238,L0029,Email,4,2024-10-20,Yes,Interested,No
A000239,L0030,Email,1,2024-10-02,No,No Response,No
A000240,L0030,LinkedIn,1,2024-10-24,No,No Response,No
A000241,L0030,Cold Call,1,2024-10-28,No,No Response,No
A000242,L0030,Email,2,2024-10-09,No,No Response,No
A000243,L0030,LinkedIn,2,2024-10-17,No,No Response,No
A000244,L0030,Cold Call,2,2024-09-23,No,No Response,No
A000245,L0030,Email,3,2024-10-27,No,No Response,No
A000246,L0030,LinkedIn,3,2024-10-07,Yes,Interested,No
A000247,L0031,Email,1,2024-09-04,No,No Response,No
A000248,L0031,LinkedIn,1,2024-09-28,No,No Response,No
A000249,L0031,Cold Call,1,2024-10-09,No,No Response,No
A000250,L0031,Email,2,2024-10-05,No,No Response,No
A000251,L0031,LinkedIn,2,2024-09-05,No,No Response,No
A000252,L0031,Cold Call,2,2024-09-24,No,No Response,No
A000253,L0031,Email,3,2024-09-22,No,No Response,No
A000254,L0031,LinkedIn,3,2024-10-14,No,No Response,No
A000255,L0031,Cold Call,3,2024-10-24,No,No Response,No
A000256,L0031,Email,4,2024-10-14,No,No Response,No
A000257,L0031,LinkedIn,4,2024-09-14,No,No Response,No
A000258,L0031,Cold Call,4,2024-10-14,No,No Response,No
A000259,L0031,Email,5,2024-09-19,No,No Response,No
A000260,L0031,LinkedIn,5,2024-10-15,Yes,Not Now,No
A000261,L0032,Email,1,2024-09-01,No,No Response,No
A000262,L0032,LinkedIn,1,2024-10-05,Yes,Interested,No
A000263,L0033,Email,1,2024-09-17,No,No Response,No
A000264,L0033,LinkedIn,1,2024-09-30,No,No Response,No
A000265,L0033,Cold Call,1,2024-10-18,No,No Response,No
A000266,L0033,Email,2,2024-10-10,No,No Response,No
A000267,L0033,LinkedIn,2,2024-10-06,No,No Response,No
A000268,L0033,Cold Call,2,2024-09-29,No,No Response,No
A000269,L0033,Email,3,2024-09-13,No,No Response,No
A000270,L0033,LinkedIn,3,2024-09-13,No,No Response,No
A000271,L0033,Cold Call,3,2024-09-19,No,No Response,No
A000272,L0033,Email,4,2024-09-03,No,No Response,No
A000273,L0033,LinkedIn,4,2024-09-01,No,No Response,No
A000274,L0033,Cold Call,4,2024-10-13,No,No Response,No
A000275,L0033,Email,5,2024-09-17,No,No Response,No
A000276,L0033,LinkedIn,5,2024-09-07,No,No Response,No
A000277,L0033,Cold Call,5,2024-10-03,No,No Response,No
A000278,L0034,Email,1,2024-09-25,No,No Response,No
A000279,L0034,LinkedIn,1,2024-09-21,No,No Response,No
A000280,L0034,Cold Call,1,2024-10-18,No,No Response,No
A000281,L0034,Email,2,2024-10-14,No,No Response,No
A000282,L0034,LinkedIn,2,2024-09-02,Yes,Not Now,No
A000283,L0035,Email,1,2024-10-27,Yes,Interested,No
A000284,L0036,Email,1,2024-09-12,No,No Response,No
A000285,L0036,LinkedIn,1,2024-09-30,No,No Response,No
A000286,L0036,Cold Call,1,2024-09-30,No,No Response,No
A000287,L0036,Email,2,2024-09-14,No,No Response,No
A000288,L0036,LinkedIn,2,2024-09-04,No,No Response,No
A000289,L0036,Cold Call,2,2024-09-13,No,No Response,No
A000290,L0036,Email,3,2024-10-27,No,No Response,No
A000291,L0036,LinkedIn,3,2024-10-01,No,No Response,No
A000292,L0036,Cold Call,3,2024-10-06,No,No Response,No
A000293,L0036,Email,4,2024-09-25,Yes,Not Now,No
A000294,L0037,Email,1,2024-10-31,No,No Response,No
A000295,L0037,LinkedIn,1,2024-10-29,No,No Response,No
A000296,L0037,Cold Call,1,2024-09-18,No,No Response,No
A000297,L0037,Email,2,2024-09-14,No,No Response,No
A000298,L0037,LinkedIn,2,2024-10-15,No,No Response,No
A000299,L0037,Cold Call,2,2024-10-12,No,No Response,No
A000300,L0037,Email,3,2024-09-10,No,No Response,No
A000301,L0037,LinkedIn,3,2024-09-15,No,No Response,No
A000302,L0037,Cold Call,3,2024-10-08,No,No Response,No
A000303,L0037,Email,4,2024-10-09,No,No Response,No
A000304,L0037,LinkedIn,4,2024-10-10,No,No Response,No
A000305,L0037,Cold Call,4,2024-09-28,No,No Response,No
A000306,L0037,Email,5,2024-09-02,No,No Response,No
A000307,L0037,LinkedIn,5,2024-10-13,No,No Response,No
A000308,L0037,Cold Call,5,2024-09-23,No,No Response,No
A000309,L0038,Email,1,2024-10-21,No,No Response,No
A000310,L0038,LinkedIn,1,2024-10-27,No,No Response,No
A000311,L0038,Cold Call,1,2024-09-20,No,No Response,No
A000312,L0038,Email,2,2024-10-29,No,No Response,No
A000313,L0038,LinkedIn,2,2024-09-09,No,No Response,No
A000314,L0038,Cold Call,2,2024-09-05,No,No Response,No
A000315,L0038,Email,3,2024-10-28,No,No Response,No
A000316,L0038,LinkedIn,3,2024-09-17,No,No Response,No
A000317,L0038,Cold Call,3,2024-10-08,No,No Response,No
A000318,L0038,Email,4,2024-10-14,No,No Response,No
A000319,L0038,LinkedIn,4,2024-10-21,No,No Response,No
A000320,L0038,Cold Call,4,2024-10-20,No,No Response,No
A000321,L0038,Email,5,2024-09-09,No,No Response,No
A000322,L0038,LinkedIn,5,2024-10-02,No,No Response,No
A000323,L0038,Cold Call,5,2024-10-05,No,No Response,No
A000324,L0039,Email,1,2024-10-02,No,No Response,No
A000325,L0039,LinkedIn,1,2024-10-12,No,No Response,No
A000326,L0039,Cold Call,1,2024-10-08,No,No Response,No
A000327,L0039,Email,2,2024-09-08,Yes,Interested,No
A000328,L0040,Email,1,2024-10-13,No,No Response,No
A000329,L0040,LinkedIn,1,2024-10-21,No,No Response,No
A000330,L0040,Cold Call,1,2024-09-14,No,No Response,No
A000331,L0040,Email,2,2024-09-05,No,No Response,No
A000332,L0040,LinkedIn,2,2024-10-12,No,No Response,No
A000333,L0040,Cold Call,2,2024-09-14,No,No Response,No
A000334,L0040,Email,3,2024-10-27,No,No Response,No
A000335,L0040,LinkedIn,3,2024-10-28,Yes,Not Now,No
A000336,L0041,Email,1,2024-10-31,No,No Response,No
A000337,L0041,LinkedIn,1,2024-09-03,No,No Response,No
A000338,L0041,Cold Call,1,2024-10-29,No,No Response,No
A000339,L0041,Email,2,2024-09-20,Yes,Not Now,No
A000340,L0042,Email,1,2024-09-25,No,No Response,No
A000341,L0042,LinkedIn,1,2024-09-30,No,No Response,No
A000342,L0042,Cold Call,1,2024-10-07,No,No Response,No
A000343,L0042,Email,2,2024-09-28,No,No Response,No
A000344,L0042,LinkedIn,2,2024-09-21,No,No Response,No
A000345,L0042,Cold Call,2,2024-09-17,No,No Response,No
A000346,L0042,Email,3,2024-10-25,No,No Response,No
A000347,L0042,LinkedIn,3,2024-10-11,No,No Response,No
A000348,L0042,Cold Call,3,2024-10-03,No,No Response,No
A000349,L0042,Email,4,2024-10-04,No,No Response,No
A000350,L0042,LinkedIn,4,2024-10-12,No,No Response,No
A000351,L0042,Cold Call,4,2024-09-26,No,No Response,No
A000352,L0042,Email,5,2024-09-07,No,No Response,No
A000353,L0042,LinkedIn,5,2024-10-12,No,No Response,No
A000354,L0042,Cold Call,5,2024-10-06,Yes,Interested,No
A000355,L0043,Email,1,2024-09-02,No,No Response,No
A000356,L0043,LinkedIn,1,2024-10-28,No,No Response,No
A000357,L0043,Cold Call,1,2024-10-22,No,No Response,No
A000358,L0043,Email,2,2024-09-27,No,No Response,No
A000359,L0043,LinkedIn,2,2024-10-30,No,No Response,No
A000360,L0043,Cold Call,2,2024-10-06,No,No Response,No
A000361,L0043,Email,3,2024-10-21,No,No Response,No
A000362,L0043,LinkedIn,3,2024-09-29,No,No Response,No
A000363,L0043,Cold Call,3,2024-09-14,No,No Response,No
A000364,L0043,Email,4,2024-09-07,No,No Response,No
A000365,L0043,LinkedIn,4,2024-10-20,No,No Response,No
A000366,L0043,Cold Call,4,2024-10-20,No,No Response,No
A000367,L0043,Email,5,2024-10-31,No,No Response,No
A000368,L0043,LinkedIn,5,2024-10-17,No,No Response,No
A000369,L0043,Cold Call,5,2024-10-23,No,No Response,No
A000370,L0044,Email,1,2024-09-07,No,No Response,No
A000371,L0044,LinkedIn,1,2024-09-03,No,No Response,No
A000372,L0044,Cold Call,1,2024-10-26,No,No Response,No
A000373,L0044,Email,2,2024-10-18,No,No Response,No
A000374,L0044,LinkedIn,2,2024-10-14,No,No Response,No
A000375,L0044,Cold Call,2,2024-10-15,No,No Response,No
A000376,L0044,Email,3,2024-09-12,No,No Response,No
A000377,L0044,LinkedIn,3,2024-09-26,No,No Response,No
A000378,L0044,Cold Call,3,2024-09-12,No,No Response,No
A000379,L0044,Email,4,2024-10-02,No,No Response,No
A000380,L0044,LinkedIn,4,2024-10-09,No,No Response,No
A000381,L0044,Cold Call,4,2024-10-23,No,No Response,No
A000382,L0044,Email,5,2024-09-04,No,No Response,No
A000383,L0044,LinkedIn,5,2024-10-13,No,No Response,No
A000384,L0044,Cold Call,5,2024-09-26,No,No Response,No
A000385,L0045,Email,1,2024-09-28,No,No Response,No
A000386,L0045,LinkedIn,1,2024-09-28,No,No Response,No
A000387,L0045,Cold Call,1,2024-09-13,No,No Response,No
A000388,L0045,Email,2,2024-10-04,No,No Response,No
A000389,L0045,LinkedIn,2,2024-09-09,No,No Response,No
A000390,L0045,Cold Call,2,2024-09-03,No,No Response,No
A000391,L0045,Email,3,2024-10-31,No,No Response,No
A000392,L0045,LinkedIn,3,2024-09-18,Yes,Interested,No
A000393,L0046,Email,1,2024-10-24,No,No Response,No
A000394,L0046,LinkedIn,1,2024-09-06,No,No Response,No
A000395,L0046,Cold Call,1,2024-09-25,No,No Response,No
A000396,L0046,Email,2,2024-09-16,Yes,Not Now,No
A000397,L0047,Email,1,2024-10-13,No,No Response,No
A000398,L0047,LinkedIn,1,2024-10-08,No,No Response,No
A000399,L0047,Cold Call,1,2024-10-01,No,No Response,No
A000400,L0047,Email,2,2024-09-08,No,No Response,No
A000401,L0047,LinkedIn,2,2024-10-06,Yes,Interested,No
A000402,L0048,Email,1,2024-10-05,No,No Response,No
A000403,L0048,LinkedIn,1,2024-10-25,Yes,Not Now,No
A000404,L0049,Email,1,2024-09-26,No,No Response,No
A000405,L0049,LinkedIn,1,2024-10-15,No,No Response,No
A000406,L0049,Cold Call,1,2024-10-23,No,No Response,No
A000407,L0049,Email,2,2024-09-29,No,No Response,No
A000408,L0049,LinkedIn,2,2024-09-30,No,No Response,No
A000409,L0049,Cold Call,2,2024-10-25,No,No Response,No
A000410,L0049,Email,3,2024-10-30,No,No Response,No
A000411,L0049,LinkedIn,3,2024-09-14,No,No Response,No
A000412,L0049,Cold Call,3,2024-10-06,No,No Response,No
A000413,L0049,Email,4,2024-10-04,No,No Response,No
A000414,L0049,LinkedIn,4,2024-10-28,Yes,Not Now,No
A000415,L0050,Email,1,2024-09-22,No,No Response,No
A000416,L0050,LinkedIn,1,2024-09-17,No,No Response,No
A000417,L0050,Cold Call,1,2024-10-06,No,No Response,No
A000418,L0050,Email,2,2024-09-08,No,No Response,No
A000419,L0050,LinkedIn,2,2024-09-29,No,No Response,No
A000420,L0050,Cold Call,2,2024-09-20,No,No Response,No
A000421,L0050,Email,3,2024-10-19,No,No Response,No
A000422,L0050,LinkedIn,3,2024-10-27,No,No Response,No
A000423,L0050,Cold Call,3,2024-09-03,No,No Response,No
A000424,L0050,Email,4,2024-10-28,Yes,Interested,Yes
A000425,L0051,Email,1,2024-09-15,No,No Response,No
A000426,L0051,LinkedIn,1,2024-09-12,No,No Response,No
A000427,L0051,Cold Call,1,2024-10-06,No,No Response,No
A000428,L0051,Email,2,2024-10-19,No,No Response,No
A000429,L0051,LinkedIn,2,2024-09-27,No,No Response,No
A000430,L0051,Cold Call,2,2024-10-18,No,No Response,No
A000431,L0051,Email,3,2024-09-13,No,No Response,No
A000432,L0051,LinkedIn,3,2024-09-19,No,No Response,No
A000433,L0051,Cold Call,3,2024-09-20,No,No Response,No
A000434,L0051,Email,4,2024-09-14,No,No Response,No
A000435,L0051,LinkedIn,4,2024-10-27,No,No Response,No
A000436,L0051,Cold Call,4,2024-09-23,Yes,Interested,No
A000437,L0052,Email,1,2024-10-08,No,No Response,No
A000438,L0052,LinkedIn,1,2024-10-09,No,No Response,No
A000439,L0052,Cold Call,1,2024-10-26,No,No Response,No
A000440,L0052,Email,2,2024-09-09,No,No Response,No
A000441,L0052,LinkedIn,2,2024-09-18,No,No Response,No
A000442,L0052,Cold Call,2,2024-10-19,No,No Response,No
A000443,L0052,Email,3,2024-10-23,No,No Response,No
A000444,L0052,LinkedIn,3,2024-09-23,No,No Response,No
A000445,L0052,Cold Call,3,2024-10-06,No,No Response,No
A000446,L0052,Email,4,2024-10-29,No,No Response,No
A000447,L0052,LinkedIn,4,2024-09-08,No,No Response,No
A000448,L0052,Cold Call,4,2024-10-13,No,No Response,No
A000449,L0052,Email,5,2024-09-13,No,No Response,No
A000450,L0052,LinkedIn,5,2024-09-17,No,No Response,No
A000451,L0052,Cold Call,5,2024-09-30,No,No Response,No
A000452,L0053,Email,1,2024-10-08,No,No Response,No
A000453,L0053,LinkedIn,1,2024-10-22,No,No Response,No
A000454,L0053,Cold Call,1,2024-09-10,No,No Response,No
A000455,L0053,Email,2,2024-10-31,No,No Response,No
A000456,L0053,LinkedIn,2,2024-10-06,No,No Response,No
